Question Stem,Correct1,Incorrect1,Incorrect 2,Incorrect 3,Category1,Category2,Category3,Category4,,
Leukemia is associated with a multifactorial etiology to include,Viruses,Bacteria,Idiopathic(immune)thrombocytopenic purpura,,Heme Path,,,,,
Leukemia is characterized by a,"Variable prognosis, depending on subtype and treatment",Uniform and highly standardized set of diseases,Predilection for older adults,Neoplastic proliferation of eosinophils ,Heme Path,,,,,
Langerhans cell histiocytosis is characterized by ,Bone lesions,A predilection for elderly patients,The neoplastic growth of plasma cells,Chloromas,Heme Path,,,,,
Which of the following is a characteristic of Hodgkin’s lymphoma?,"Predilection for males, expect the nodular sclerosis subtype","Predilection for females, expect the nodular sclerosis subtype",Bimodal pattern in respect to gender,Birbeck granules,Heme Path,,,,,
Hemophilias may be treated with ,The administration of clotting factor,Low dose aspirin,Steroids,Iron supplements,Heme Path,,,,,
"As a result of parental consanguinity (inbreeding), male descendants of European royalty have ",Hemophilia,Macrotia (big ears) ,Poor judgment,Hypogammaglobulinemia ,Heme Path,,,,,
Reduced bone trabeculation and calvarial “hair-on-end” appearance are features of ,Thalassemia,Myelophthisic anemia,Myelofibrosis ,Marble bone ,Heme Path,,,,,
"A 21-day cycle of fever, pharyngitis, oral ulcerations, and severe periodontal bone loss describes",Cyclic neutropenia,Erythrocytosis,Thrombocytopenia,DiGerorge syndrome ,Heme Path,,,,,
A chloroma is a green discolored soft tissue swelling that represents a clinical manifestation of,Acute myeloblastic leukemia (AML),Acute lymphoblastic leukemia (ALL),Chronic lymphocytic leukemia (ALL),Chronic myelogenous leukemia (CML) ,Heme Path,,,,,
Which of the following malignancies is most likely to cause destruction and perforation of the palate?,Angiocentric T-cell lymphoma,Acute lymphoblastic leukemia,Hodgkin lymphoma,Multiple myeloma ,Heme Path,,,,,
Which of the following radiographic findings is often seen in the jaws of patients with sickle cell anemia?,“Step-ladder” trabecular pattern ,Ground glass radiographic changes ,Punched out radiolucencies,Generalized widening of the periodontal ligament space,Heme Path,,,,,
Amyloidosis causing a diffuse enlargement of the tongue may be seen in patients with,Multiple myeloma,Hodgkin lymphoma,Acute disseminated Langerhans cell histiocytosis,Chronic lymphocytic leukemia ,Heme Path,bone,systemic,,,
The mechanism of anemia in a patient with thalassemia major is,Increased destruction of red blood cells,Decreased production of red blood cells,Loss of red blood cells,None of the above,Heme Path,,,,,
The radiographic appearance of the bone in this periapical view is characteristic of which of the following diseases?,Sickle cell anemia,Hemophilia,Langerhans cell histiocytosis,Multiple myeloma,Heme Path,,,,,
What is a pseudotumor of hemophilia?,Tissue hemorrhage resulting in the formation of a mass.,Inflammation and scarring of a joint secondary to hemarthrosis.,A connective tissue hamartoma.,Moth-eaten changes in bone mimicking a malignancy.,Heme Path,,,,,
What is the action of epsilon-aminocaproic acid (EACA)?,"It acts as an antifibrinolytic agent, thus preventing the breakdown of blood clots",It promotes the production of coagulation factors in the liver via increased recycling of vitamin K,It causes the release of bound factor VIII,It causes the release of bound factor IX,Heme Path,,,,,
Excess globin chains accumulating within erythrocytes is characteristic of which disease?,Thalassemia,Christmas disease,Agranulocytosis,Aplastic anemia,Heme Path,,,,,
Thalassemia is predominantly an anemia of,Increased red blood cell destruction,Decreased red blood cell production,Chronic blood loss,Iron-deficiency,Heme Path,,,,,
"Which of the following tumors exhibits rapid growth and shows a strong predilection for the jaws, as well as a strong association with the Epstein-Barr virus?",Burkitt lymphoma,Eosinophilic granuloma,Plasmacytoma,Diffuse large B-cell lymphoma,Heme Path,,,,,
Amyloid light chain deposits resulting in macroglossia may be seen in patients with,Multiple myeloma,Leukemia,Thalassemia major,Langerhans cell histiocytosis ,Heme Path,,,,,
Which of the following mechanisms is responsible for the severe anemia seen in patients with thalassemia major? ,Increased destruction of red blood cells,Decreased production of red blood cells,Blood loss,Platelet aggregation and depletion,Heme Path,,,,,
"Which of the following malignancies is linked to Epstein-Barr virus, is extremely fast growing, and shows a strong predilection for the jaws? ",Endemic Burkitt lymphoma,Diffuse large B-cell lymphoma,Hodgkin lymphoma,Angiocentric T-cell lymphoma ,Heme Path,,,,,
Pseudotumors of the jawbones are most commonly seen in patients with     ,Hemophilia A,Sickle cell trait  ,Sickle cell disease,Thrombotic thrombocytopenic purpura  ,Heme Path,,,,,
A “choloroma” is a clinical manifestation of which of the following conditions?,Myeloid leukemia,Multiple myeloma,T-cell lymphoma,Acute disseminated histiocytosis,Heme Path,,,,,
What is the mechanism of action of desmopressin which makes it useful in the treatment of patients with hemophilia A?,It increases the release of bound factor VIII  ,It acts as an antidiuretic ,It acts as an antifibrinolytic agent  ,It increases production of factor VIII by endothelial cells ,Heme Path,,,,,
A “starry sky” appearance on histology is characteristic of which of the following tumors? ,Burkitt lymphoma,Hodgkin lymphoma,Plasmacytoma,Diffuse large B-cell lymphoma ,Heme Path,,,,,
"Pronounced maxillary hyperplasia, resulting in a “chipmunk” facial appearance, is MOST likely to be noted in a patient with  ",Thalassemia major,Burkitt lymphoma,Hand-Schuller-Christian disease,Aplastic anemia ,Heme Path,,,,,
Which of the following malignancies has a particularly strong predilection for the jawbones (50 to 70% of tumors develop in the jaws)?,Burkitt lymphoma,Hodgkin lymphoma,Acute myeloid leukemia,Diffuse large B-cell lymphoma ,Heme Path,,,,,
"A 60-year old male patient presents with a history of bone pain and fractured jaw following minor trauma. A panoramic radiograph reveals the presence of multiple well-defined radiolucent lesions of the mandible. Given this information, which of the following is the MOST likely diagnosis?",Multiple myeloma,Plasmacytoma,Acute disseminated histiocytosis,Cyclic neutropenia,Heme Path,,,,,
Associated with mucous patches & rash,Secondary syphilis,Primary syphilis,Secondary syphilis,Congenital syphilis,Infection,,,,,
RPR and VDRL are screening tests for this,Syphilis,HIV,Tuberculosis,Histoplasmosis,Infection,Bacterial/Fungal,,,,
"Strawberry tongue, an exanthematous rash, and fever are clinical characteristics of ",Scarlet fever,Erysipelas,Streptococcal pharyngitis,Diphtheria,Infection,Bacterial/Fungal,,,,
"Hutchinson incisors, mulberry molars, interstitial keratitis, and eight nerve deafness may be seen in",Congenital syphilis,Primary syphilis,Secondary syphilis,Tertiary syphilis,Infection,Dental Anomalies,Bacterial/Fungal,,,
"A systemic fungal infection common in the U.S., particularly  in the Mississippi and Ohio River valleys (like Pittsburgh) is",Histoplasmosis,Lassa fever,Blastomycosis ,Coccidioidomycosis,Infection,Bacterial/Fungal ,,,,
Kaposi Sarcoma in AIDS is associated with ,HHV-8,CMV,HHV-6,HUM-V,Infection,Viral,,,,
Koplik spots are oral manifestations of ,Measles,Mumps,Rubella,Herpangina,Infection,Viral ,,,,
Viral preference for certain cell types is known as ,Viral tropism,Virophobia,Virophilia,Cytotropism,Infection,Viral,,,,
The key element that will allow reversible pulpitis to progress to irreversible pulpitis is ,Bacterial invasion,Injury in a confined space,Iatrogenic injury ,Inappropriate use of dental materials ,Infection,Bacterial/Fungal,,,,
Fragile vesicles on children's skin that rupture quickly leaving an amber colored crust are a characteristic finding of ,Impetigo,Erysipelas,Scarlet fever,Diphtheria,Infection,Bacterial/Fungal,,,,
Strawberry tongue is a characteristic finding in which of the following conditions?,Scarlet fever,Erysipelas,Impetigo,Diphtheria,Infection,Bacterial/Fungal,,,,
Syphilis is highly infectious during all three stages of the disease.,FALSE,TRUE,,,Infection,Bacterial/Fungal,,,,
"Mucous patches, condyloma lata and lues maligna are clinical elements of __________ syphilis. ",Secondary,Primary,Tertiary,,Infection,Bacterial/Fungal,,,,
A consistent sign of secondary syphilis is ,Maculopapular rash,Weight loss,Arthralgia,Painless lymphadenopathy,Infection,Bacterial/Fungal,,,,
Screening tests for syphilis include,VDRL,TPHA,CAPS,FTA-ABS,Infection,Bacterial/Fungal,,,,
Oral and pharyngeal manifestations of gonorrhea infection may include all of the following EXCEPT,Chronic sialadenitis,Necrotizing ulcerative gingivitis,Tonsillitis,Pharyngitis,Infection,Bacterial/Fungal,Salivary,,,
"During childbirth, an asymptomatic mother infected with gonorrhea can pass the disease to the newborn, resulting in ",Blindness,Deafness,Sterility,Uro-genital infection,Infection,Bacterial/Fungal,,,,
The most common route of transmission for tuberculosis is through,Airborne droplets,Blood,Viral transmission,Contaminated water source,Infection,Bacterial/Fungal,,,,
A diffuse spread of tuberculosis via the vascular system is termed __________ tuberculosis. ,Miliary,Secondary,Tertiary,Primary   ,Infection,Bacterial/Fungal,,,,
Tuberculosis can be found in both pulmonary as well as extra pulmonary sites. ,TRUE,FALSE,,,Infection,Bacterial/Fungal,,,,
Actinomycosis is a __________ infection.,Bacterial,Fungal,Viral,Prion,Infection,Bacterial/Fungal,,,,
Spread of actinomycosis throughout the body is by a vascular or lymphatic route (trauma). ,FALSE,TRUE,,,Infection,Bacterial/Fungal,,,,
"If sulfur granules are found during a surgical endodontic procedure, their presence offers a presumptive diagnosis of actinomycosis. ",TRUE,FALSE,,,Infection,Bacterial/Fungal,,,,
The causative organism of cat-scratch disease has also been implicated in the formation of ,Bacillary angiomatosis,Kaposi sarcoma,Histiocytoid hemangioma,Kimura disease,Infection,Bacterial/Fungal,,,,
Which of the following is a radiodense focus found within a sinus which can also be associated with a thickened antral lining or clouded sinus?,Antrolith,Pseudocyst,Mucocele,Fungus ball,Infection,Bacterial/Fungal,,,,
The hyphal form of Candida albicans has little effect on the host tissue whereas the yeast form shows invasion of host tissue.,FALSE,TRUE,,,Infection,Bacterial/Fungal,,,,
The use of broad spectrum antibiotics can lead to an abundance of Candida by,Elimination of competing bacteria,Alteration of salivary pH,Fillers in antibiotic medications acting as a food source,Allowing the yeast form to proliferate,Infection,Bacterial/Fungal,,,,
"A burning sensation, redness, and loss of filiform papillae leading to a ""bald"" tongue are clinical signs indicative of __________ candidiasis.",Erythematous,Pseudomembranous,Hyperplastic,Mucocutaneous,Infection,Bacterial/Fungal,,,,
"Due to liver toxicity, which of the following drugs should be avoided as an initial drug of choice in the treatment of candidiasis?",Ketoconazole,Amphotericin,Fluconazole,Itraconazole,Infection,Bacterial/Fungal,,,,
Inhalation of any amount of airborne spores of H. capsulatum leads to clinical manifestations of the disease process of histoplasmosis.,FALSE,TRUE,,,Infection,Bacterial/Fungal,,,,
Chronic histoplasmosis differs from the other forms of histoplasmosis in that it ,Appears similar to tuberculosis,Is a self-limiting disease,Is the least common form ,Is seen in extrapulmonary sites,Infection,Bacterial/Fungal,,,,
Oral lesions are seen most frequently with __________ histoplasmosis.,Disseminated,Acute,Chronic,,Infection,Bacterial/Fungal,,,,
"As seen on a chest radiograph, the lesions of blastomycosis do not show __________ like tuberculosis and histoplasmosis.",Calcification,Invasion,Circumscription,Resolution,Infection,Bacterial/Fungal,,,,
Histologic examination of skin and oral lesions of blastomycosis is required ,Due to its resemblance to squamous cell carcinoma,To guide treatment,To determine the originating source of the lesion,To evaluate for secondary organisms,Infection,Bacterial/Fungal,Epithelial Pathology,,,
The characteristic histologic appearance of paracoccidioidomycosis is due to ,Daughter buds,Engulfment by multinucleated giant cells,Its capsule,A central grove ,Infection,Bacterial/Fungal,,,,
The fungal disease endemic to the Southwestern United States and Mexico is known as ,Coccidioidomycosis ,Toxoplasmosis,Blastomycosis,Histoplasmosis,Infection,Bacterial/Fungal/Fungal ,,,,
"The fungal disease Cryptococcus has a broad distribution, as it is primarily associated with ",Pigeons,The Mississippi River Valley,Cats ,Decaying material,Infection,Bacterial/Fungal/Fungal ,,,,
The most common significant disease presentation of cryptococcosis is ,Meningitis,Oral lesions,Skin papules,Bone lesions,Infection,Bacterial/Fungal/Fungal ,,,,
Presentation of a zygomycotic infection is most prevalent in which of the following populations?,Uncontrolled insulin dependent diabetics,Young children,Patients experiencing lung disease,Healthy patients ,Infection,Bacterial/Fungal/Fungal ,,,,
Histopathologic examination of zygomycotic organisms shows non-septate hyphae branching at 90 degrees.,TRUE,FALSE,,,Infection,Bacterial/Fungal ,,,,
A protozoal infection which can lead to blindness and intellectual disability in a newborn is ,Toxoplasmosis,Zygomycosis,Aspergillosis,Cryptococcosis ,Infection,Bacterial/Fungal ,,,,
"HSV-1 is best suited for head and neck area infection, while HSV-2 is best suited for infection of the genitalia. ",TRUE,FALSE,,,Infection,Viral,,,,
"For clinical signs of the virus to become evident again, a secondary or recurrent herpes simplex virus infection requires",Reactivation,Reinfection,Transformation,Renovation,Infection,Viral,,,,
"Persons exposed to HSV-1 at a young age, manifest in gingivostomatitis, while those exposed at an old age exhibit pharyngotonsillitis. ",TRUE,FALSE,,,Infection,Viral,,,,
Recurrent HSV infection of the oral mucosa typically begins on the attached mucosa.,TRUE,FALSE,,,Infection,Viral,,,,
Virus laden epithelial cells demonstrating ballooning degeneration and multinucleation are termed ­­­__________ cells. ,Tzanck,Molluscum,Koilocytes,Multinucleated,Infection,Viral,,,,
"When ocular digital involvement of HSV occurs, it is usually through which of the following?",Self-inoculation,Latent infection,Viral extension,Skip lesions,Infection,Viral,,,,
Chicken pox and herpes zoster are caused by the same virus. ,TRUE,FALSE,,,Infection,Viral,,,,
"Dormancy for a period of time in the dorsal spinal ganglia, until reactivation, is characteristic of ",Herpes zoster,Herpes simplex,Varicella,Cytomegalovirus ,Infection,Viral,,,,
The prevalence of herpes zoster within the population is __________%. ,10 to 20,0 to 5,5 to 10,20 to 25,Infection,Viral,,,,
Oral lesions of herpes zoster often extend to the midline and can be found on bound as well as movable mucosa.,TRUE,FALSE,,,Infection,Viral,,,,
Involvement of the nasociliary branch of the 5th cranial nerve with herpes zoster indicates a potential for __________ involvement. ,Ocular,Skin ,Oral,Auditory,Infection,Viral,,,,
Diagnostic tests for the presence of EBV in suspected mononucleosis includes all the following EXCEPT,ELISA,Heterophil antibody test,PCR,Recombinant DNA,Infection,Viral,,,,
Cytomegalovirus is of special concern to patients with AIDS due to ,Chorioretinitis,Lymphoma,Leukemia,Amelogenesis imperfecta,Infection,Viral,,,,
The lesions of Herpangina most closely resemble,Aphthous ulcers,Herpes ,Lymphoid hyperplasia,Traumatic ulcers,Infection,Viral,,,,
The etiology for rubeola can be traced to which of the following viruses?,Paramyxovirus ,Togavirus,Hantavirus,Picornavirus ,Infection,Viral,,,,
"Blue-white macules of the buccal and labial mucosa, which indicate the oral manifestation of measles, are referred to as ",Koplik spots,Kaposi lesions,Kaufmann spots,Forchheimer sign ,Infection,Viral,,,,
Which of the following characteristics is the most ominous aspect of rubella?,Potential for congenital birth defects,Potential for scarring skin lesions,Propensity for blindness,Familial transmission,Infection,Viral,,,,
The effects of mumps is most targeted at the ,Salivary glands,Liver,Testicles,Ovaries ,Infection,Viral,,,,
The human immunodeficiency virus targets which of the following?,CD4+ lymphocytes,Natural killer cells,Platelets,CD8+ lymphocytes,Infection,Viral,,,,
The most common intraoral manifestation of HIV is/are,Candidiasis,Lymphadenopathy,Kaposi’s sarcoma,Squamous papillomas ,Infection,Viral,,,,
Vertical streaks of keratin along the lateral border of the tongue in an HIV infected patient suggests,Oral hairy leukoplakia,Candidiasis,Kaposi’s sarcoma,Squamous papillomas,Infection,Viral,,,,
"In an HIV infected patient, the clinical lesion which must be ruled out prior to a diagnosis of Kaposi’s sarcoma is",Bacillary angiomatosis,Pyogenic granuloma,Hemangioma,Lymphoma ,Infection,Viral,,,,
Smooth surfaced papules with a keratinaceous center of the skin of the neck and eyelids seen in a 6 year-old child most likely represents ,Molluscum contagiosum,Varicella,Variola,Verrucae ,Infection,Viral,,,,
The human papilloma virus is a __________ virus. ,Papova,Herpes,Adeno,Pox,Infection,Viral,Epithelial Pathology,,,
A spirochetal infection that causes severe oral malodor and loss of the interdental papillae’s pyramidal architecture is ,Necrotizing ulcerative gingivitis,Herpetic gingivostomatitis,Materia alba,Plasma cell gingivitis,Infection,Viral,,,,
Radiopacities noted in the ramus region of the mandible may represent,Tonsilloliths,Pharyngitis,Rhinoliths ,Epidermoid cysts,Infection,,,,,
"Pseudomembranous, erythematous, and angular cheilitis are forms of ",Candidiasis,Diphtheria,Impetigo,Leukoplakia,Infection,Bacterial/Fungal,,,,
A cytologic smear shows hyphae and yeast forms when stained with PAS. The diagnosis is ,Candida albicans,Herpes labialis,Staph. aureus,Staph. mutans ,Infection,,,,,
"A superficial skin infection with β-hemolytic strep that shows red facial lesions commonly occurring on the cheeks, eyelids, and bridge of the nose is ",Erysipelas,Bullous impetigo,Impetigo contagiosa,Scarlet fever,Infection,Bacterial/Fungal,,,,
The white vertical steaks noted on the lateral tongue of an AIDS patient result from which virus,EBV,HPV,HSV,CMV,Infection,Viral,,,,
"A child with erythematous gingiva, yellowish mucosal ulcerations, and fluid-filled vesicles has",Primary herpes,EBV infection,Recurrent herpes ,CMV infection,Infection,Viral,,,,
The recurrent infection with VZV is ,Shingles,Chicken pox,Mumps,Measles ,Infection,Viral,,,,
"Lymphadenopathy, fatigue, and malaise are evident in a young adult with recent onset fever. Your clinical impression is ",Mononucleosis,Chronic fatigue syndrome,Herpes zoster,Herpangina,Infection,Viral,,,,
Mumps is the most common viral cause of ,Sialadenitis,Salivary calculi,Salivary duct cyst ,Epimyoepithelial islands,Infection,Viral,Salivary,,,
A pox virus-related popular eruption with several papules having keratin-like plugs describes ,Molluscum contagiosum,Condyloma acuminatum,Verruciform xanthoma,Multifocal epithelial hyperplasia,Infection,viral,,,,
Which statement about ulcers is true?,The primary lesion in syphilis is an ulcer called a chancre,Actinomycosis is a type of fungal infection,"The causative bacteria in syphilis, Treponema pallidum, is a normal saprophytic component of the oral flora",Actinomycosis never perforates onto the skin,Infection,Bacterial/Fungal,,,,
Which of the following is false regarding necrotizing ulcerative gingivitis (NUG)?,No treatment is needed as it resolves in a day or two,“Punched-out” ulcerations limited to the interdental papillae are seen,NUG frequently occurs in the presence of psychological stress,The gingiva is painful and bleeds,Infection,Bacterial/Fungal,,,,
Hutchinson incisors and mulberry molars are associated with which of the following?,Congenital syphilis,Secondary syphilis,Tertiary syphilis,Primary syphilis,Infection,Bacterial/Fungal,,,,
A contagious lesion caused by a pox virus that produces smooth-surfaced papules with a central keratin-like core is termed,Molluscum contagiosum,Squamous papilloma,Condyloma acuminatum,Verruciform xanthoma,Infection,viral,,,,
"A superficial infection of the facial skin of young people that is bacterial, but resembles exfoliative cheilitis and recurrent herpes simplex (fragile vesicle and amber brown crusts) is",Impetigo,Angular cheilitis,Erysipelas,Scarlatina,Infection,Bacterial/Fungal,,,,
"Chancres, mucous patches, and gumma are characteristic lesions in different stages of",Syphilis,Gonorrhea,Chlamydia,Gardnerella,Infection,Bacterial/Fungal,,,,
"Histoplasmosis, Blastomycosis, Aspergillosis, and Cryptococcosis are",Fungal,Protozoal,Bacterial,Helminthic,Infection,Bacterial/Fungal,,,,
"Scrofula, acid-fast mycobacteria, and calcified lymph nodes are associated with",Tuberculosis,Tertiary syphilis,Hanson’s disease,Toxoplasmosis,Infection,Bacterial/Fungal,,,,
You would expect to find a Tzanck cell in ,A herpetic blister,A meningioma,Hodgkin lymphoma,Rosai-Dorfman disease,Infection,Viral ,,,,
" “Sulfur granules”, “lumpy jaw”, “pool of neutrophils”, and “Gram-positive bacterial rods” all describe",Actinomycosis,Aspergillosis,Blastomycosis,Coccidioidomycosis,Infection,Bacterial/Fungal,,,,
"With the phrase “Hutchinson’s incisors”, you expect what condition?",Congenital syphilis,Deciduous tooth periapical inflammation,Dentinogenesis imperfecta,Osteogenesis imperfecta,Infection,Bacterial/Fungal,,,,
Histoplasmosis  ,Is the most common systemic fungal infection in the US,Is caused by a monomorphic yeast.,Is typically transmitted by rats or mice,Most commonly affects the skin,Infection,Viral,,,,
Post-herpetic neuralgia is best characterized by,Chronic severe pain along the affected nerve distribution,Pain and tingling of the fingers and toes,Ptosis of the eyelids,Seizures,Infection,Viral,,,,
Where would you find a Tzanck cell? ,In a herpetic blister ,In a meningioma ,In Rosai-Dorfman disease ,In Hodgkin lymphoma ,Infection,Viral,,,,
All of the following statements are true for hand-foot-mouth disease EXCEPT,It is typically treated with valacyclovir ,It is caused by an enterovirus ,It may present with oral vesicles and ulcers ,It is caused by a coxsackievirus ,Infection,Viral,,,,
All of the following are clinical forms of candidiasis EXCEPT ,Anaplastic ,Pseudomembranous ,Angular cheilitis ,Hyperplastic ,Infection,Bacterial/Fungal,,,,
"“Sulfur granules”, “lumpy jaw”, “pool of neutrophils”, and “Gram-positive bacterial rods” all describe  ",Actinomycosis ,Coccidioidomycosis ,Blastomycosis ,Aspergillosis ,Infection,Bacterial/Fungal,,,,
Which group of diseases are STRONGLY ASSOCIATED with HIV in adults?,"Candidiasis, oral hairy leukoplakia, Kaposi’s Sarcoma, necrotizing gingivitis","Recurrent aphthous stomatitis, bacterial infections, neurologic disorders","Oral hairy leukoplakia, Viral infections, oral ulcers, Kaposi’s Sarcoma","Viral Infections, oral ulcers, melanocytic hyperpigmentation",Infection,Bacterial/Fungal,,,,
The most common intraoral manifestation of HIV is,Candidiasis    ,lymphadenopathy,Kaposi’s sarcoma,squamous papillomas,Infection,Bacterial/Fungal,,,,
Most cases of angular cheilitis occur as a result of infection with which of the following ,Coinfection with S  aureus and C  albicans,S  aureus,C  albicans,Coinfection with S  pyogenes and C  albicans,Infection,Viral,,,,
The most common infectious agent in cavernous sinus thrombosis is ,Staphylococcus aureus ,Rhizopus sp ,Candida sp ,Actinomyces israelii ,Infection,Bacterial/Fungal,,,,
The causative agent of “cat scratch” disease is,Bartonella henselae ,Treponema pallidum ,Actinomyces israelii ,Acer rubrum ,Infection,Bacterial/Fungal,,,,
Blastomycosis lesions on the skin and mucosa can show pseudocarcinomatous (hint  use your word roots) hyperplasia histopathologically. Why is that an important microscopic distinction?,"The lesion can be mistaken for cancer, but it is not ",The lesion is pre-malignant ,"The infection causes squamous cell carcinoma, of which this is an early sign ",The hyperplasia is a common sign of immunodeficiency  ,Infection,Bacterial/Fungal,,,,
The most common systemic fungal infection in the US is ,Histoplasmosis ,Candidiasis ,Mucormycosis ,Cryptococcosis  ,Infection,Bacterial/Fungal,,,,
The appropriate treatment for an asymptomatic tonsillolith is typically ,Observation ,Lithotripsy ,Enucleation ,Tonsillectomy  ,Infection,Bacterial/Fungal,,,,
Necrotizing ulcerative gingivitis (NUG) differs from the usual gingivitis or periodontitis. The following are all clinical differences and true for NUG EXCEPT ,Seen in elderly patients,“Punched out” papillae,Associated with malnutrition,Associated with stress,Infection,Allergies/Immunologic,,,,
HHV8 is also known as,Kaposi sarcoma virus,Herpangina,Human hepatitis virus 8,Herpes simplex virus,Infection,viral,,,,
One commonly reported problem with mumps infection in adults is,Orchitis ,Sialolithiasis ,Uveitis ,Endometriosis,Infection,Viral,,,,
A mass of filamentous bacteria surrounded by a pool of neutrophils seen in the cervicofacial region most likely represents ,Actinomycosis,Coccidioidomycosis ,Mycobacterium leprae,Primary syphilis  ,Infection,Bacterial/Fungal,,,,
Where is the principle location for lymphoid tissue within the oral cavity?,Waldeyer ring,Ventral tongue,Soft palate,Lateral tongue,Miscellaneous ,,,,,
The lining epithelium of a normal sinus consists of __________ epithelium and cilia.,Pseudostratified columnar,Stratified squamous,Columnar,Cuboidal,Miscellaneous ,,,,,
Hyperplasia is synonymous with neoplasia.,FALSE,TRUE,,,Miscellaneous ,,,,,
Erythematous granulation tissue extruding from the pulp chamber describes,Pulp polyp,Pulpal hyperemia,Pulp stones,Pup sclerosis,Miscellaneous ,,,,,
Concerning the current dental office chair-side test for oral HPV infection,It is a PCR test,It measures secretory IgA levels to viral surface proteins,A positive result for high risk HPV requires that a subseqeusnt oral biopsy be done,You get your results within 20 minutes of swishing the solution,Miscellaneous ,,,,,
"As discussed in class, what is the best source for DNA that can be extracted from a swab sample?  ",Buccal mucosa,Hard palate mucosa,Attached gingiva,Leukocytes that have migrated into the gingival sulcus,Miscellaneous ,,,,,
Which of the following is procedure NOT requiring antibiotic prophylaxis? ,Local anesthetic injections,Tooth extraction,Routine Prophylaxis,Rubber damn Clamp and gingival retraction,Miscellaneous ,,,,,
Antibiotic prophylaxis is recommended for patients with all of the following except ,Arrhythmias (e.g. atrial fibrillation),Prosthetic cardiac valves,Previous bacterial endocarditis,Congenital Heart Disease – tetralogy of Fallot,Miscellaneous ,,,,,
Antibiotic prophylaxis is recommended _____ before a procedure.,30-60 minutes,24 hours prior,Immediately prior (few minutes),1 hour,Miscellaneous ,,,,,
A sodium bicarbonate oral rinse has the effect of,Increasing the ph or neutralizing an acid ph,Decreasing the ph in the mouth,Making the patient sick,Improving the taste of a mouth rinse,Miscellaneous ,,,,,
Developmental cyst seen in the canine/premolar area between vital teeth,Lateral periodontal cyst,Radicular cyst,Periapical cyst,Dentigerous cyst,Odontogenic,,,,,
"A gnathic cyst/tumor that classically exhibits ghost cells, histopathologically",Calcifying cystic odontogenic tumor  (Calcifying odontogenic cyst),Keratocystic Odontogenic Tumor (Odontogenic Keratocyst),Ameloblastoma,Adenomatoid Odontogenic Tumor,Odontogenic,,,,,
Developmental cyst that surrounds the crown of an impacted tooth,Dentigerous cyst,Incisive canal cyst,Buccal bifurcation cyst,Periapical cyst,Odontogenic,Dental Anomalies,,,,
Odontogenic lesion associated with Gorlin syndrome,Keratocystic Odontogenic Tumor (Odontogenic Keratocyst),Calcifying cystic odontogenic tumor  (Calcifying odontogenic cyst),Ameloblastoma,Basaloid squamous cell carcinoma,Odontogenic,Syndromes,,,,
Keratocystic Odontogenic Tumor (Odontogenic Keratocyst) that develops instead of a tooth,Primordial cyst,Residual cyst,Periapical cyst,Lateral periodontal cyst,Odontogenic,,,,,
A tumor that occurs most commonly in children,Ameloblastic fibroma,Ameloblastoma,Keratocystic Odontogenic Tumor (Odontogenic Keratocyst),Calcifying epithelial odontogenic tumor ,Odontogenic,Soft Tissue,,,,
The most common location for an ameloblastoma is,Posterior mandible,Posterior maxilla,Anterior maxilla,Mandibular canine/premolar area,Odontogenic,,,,,
A tumor that occurs most commonly in children and may exhibit tooth formation,Ameloblastic fibro-odontoma,Ameloblastic fibroma,Ameloblastoma,Primordial cyst,Odontogenic,,,,,
A cyst that develops instead of a tooth and commonly resembles an odontogenic keratocyst is,Primordial cyst,Eruption cyst,Residual cyst,Periapical cyst,Odontogenic,,,,,
Odontogenic keratocysts are prominent features of ,Nevoid basal cell carcinoma syndrome,Gardner syndrome,Zollinger-Ellison syndrome,Vickers syndrome,Odontogenic,Syndromes,Epithelial Pathology,,,
A  cyst associated with a partially erupted third molar that shows inflammatory changes is,Paradental cyst,Periapical cyst,Lateral periodontal cyst,Glandular cyst,Odontogenic,,,,,
A unilocular radiolucency overlying the crown of an impacted third molar tooth in an 18-year-old male is most likely a/an,Dentigerous cyst,Adenomatoid odontogenic tumor,Odontogenic keratocyst/ keratocystic odontogenic tumor,Central giant cell granuloma,Odontogenic,,,,,
"A dense, amorphous radiopacity with a radiolucent halo and well-demarcated border in the posterior mandible is most likely a/an",Complex odontoma,Ameloblastoma,Osteosarcoma,Dentigerous cyst,Odontogenic,,,,,
The ameloblastoma occurs most commonly in the ,Posterior mandible,Anterior maxilla,Posterior maxilla,Anterior mandible,Odontogenic,,,,,
A tumor in the posterior mandible of children that may show evidence of tooth formation is the ,Ameloblastic fibro-odontoma,Pindborg tumor,Adenomatoid odontogenic tumor,Ameloblastoma,Odontogenic,,,,,
"A panorex radiograph of a 38-year-old male is described as having a multilocular (""soap bubble"") radiolucency in the posterior mandible. Your diagnostic impression is",Ameloblastoma,Odontoma,Adenomatoid odontogenic tumor,Ameloblastic fibro-odontoma,Odontogenic,,,,,
"Of the following odontogenic tumors, the one that occurs commonly in your children is the ",Ameloblastic fibroma,Ameloblastoma,Pindborg tumor,Clear cell odontogenic carcinoma,Odontogenic,,,,,
A developmental cyst that occurs in the premolar region in the mid-root area of vital teeth is a ,Lateral periodontal cyst,Eruption cyst,Radicular cyst,Periapical cyst,Odontogenic,,,,,
